-5 5.61919
-4.99 5.60257
-4.98 5.58598
-4.97 5.56942
-4.96 5.5529
-4.95 5.53641
-4.94 5.51996
-4.93 5.50353
-4.92 5.48714
-4.91 5.47079
-4.9 5.45446
-4.89 5.43817
-4.88 5.42191
-4.87 5.40569
-4.86 5.38949
-4.85 5.37333
-4.84 5.35721
-4.83 5.34111
-4.82 5.32505
-4.81 5.30902
-4.8 5.29302
-4.79 5.27706
-4.77999 5.26112
-4.76999 5.24522
-4.75999 5.22936
-4.74999 5.21352
-4.73999 5.19772
-4.72999 5.18195
-4.71999 5.16621
-4.70999 5.1505
-4.69999 5.13483
-4.68999 5.11919
-4.67999 5.10358
-4.66999 5.088
-4.65999 5.07246
-4.64999 5.05694
-4.63999 5.04146
-4.62999 5.02601
-4.61999 5.0106
-4.60999 4.99521
-4.59999 4.97986
-4.58999 4.96454
-4.57999 4.94925
-4.56999 4.93399
-4.55999 4.91876
-4.54999 4.90357
-4.53999 4.8884
-4.52999 4.87327
-4.51999 4.85817
-4.50999 4.84311
-4.49999 4.82807
-4.48999 4.81306
-4.47999 4.79809
-4.46999 4.78315
-4.45999 4.76824
-4.44999 4.75336
-4.43999 4.73851
-4.42999 4.72369
-4.41999 4.70891
-4.40999 4.69415
-4.39999 4.67943
-4.38999 4.66474
-4.37999 4.65008
-4.36999 4.63545
-4.35999 4.62085
-4.34999 4.60629
-4.33998 4.59175
-4.32998 4.57724
-4.31998 4.56277
-4.30998 4.54833
-4.29998 4.53391
-4.28998 4.51953
-4.27998 4.50518
-4.26998 4.49086
-4.25998 4.47657
-4.24998 4.46231
-4.23998 4.44808
-4.22998 4.43389
-4.21998 4.41972
-4.20998 4.40558
-4.19998 4.39148
-4.18998 4.3774
-4.17998 4.36336
-4.16998 4.34934
-4.15998 4.33536
-4.14998 4.32141
-4.13998 4.30749
-4.12998 4.29359
-4.11998 4.27973
-4.10998 4.2659
-4.09998 4.2521
-4.08998 4.23832
-4.07998 4.22458
-4.06998 4.21087
-4.05998 4.19719
-4.04998 4.18354
-4.03998 4.16992
-4.02998 4.15633
-4.01998 4.14277
-4.00998 4.12923
-3.99998 4.11573
-3.98998 4.10226
-3.97998 4.08882
-3.96998 4.07541
-3.95998 4.06203
-3.94998 4.04868
-3.93998 4.03535
-3.92998 4.02206
-3.91998 4.0088
-3.90998 3.99556
-3.89998 3.98236
-3.88998 3.96918
-3.87998 3.95604
-3.86998 3.94292
-3.85998 3.92984
-3.84998 3.91678
-3.83998 3.90375
-3.82998 3.89075
-3.81998 3.87779
-3.80998 3.86485
-3.79998 3.85194
-3.78998 3.83905
-3.77998 3.8262
-3.76998 3.81338
-3.75998 3.80058
-3.74998 3.78782
-3.73998 3.77508
-3.72998 3.76238
-3.71998 3.7497
-3.70998 3.73705
-3.69998 3.72443
-3.68998 3.71184
-3.67998 3.69928
-3.66998 3.68674
-3.65998 3.67424
-3.64998 3.66176
-3.63998 3.64932
-3.62998 3.6369
-3.61998 3.62451
-3.60998 3.61215
-3.59998 3.59981
-3.58998 3.58751
-3.57998 3.57523
-3.56998 3.56299
-3.55998 3.55077
-3.54998 3.53858
-3.53998 3.52641
-3.52998 3.51428
-3.51998 3.50217
-3.50998 3.4901
-3.49998 3.47805
-3.48998 3.46603
-3.47998 3.45403
-3.46998 3.44207
-3.45998 3.43013
-3.44998 3.41822
-3.43998 3.40634
-3.42998 3.39449
-3.41998 3.38267
-3.40998 3.37087
-3.39998 3.3591
-3.38998 3.34736
-3.37998 3.33565
-3.36998 3.32396
-3.35998 3.3123
-3.34998 3.30068
-3.33998 3.28907
-3.32998 3.2775
-3.31998 3.26595
-3.30998 3.25443
-3.29998 3.24294
-3.28998 3.23148
-3.27998 3.22004
-3.26998 3.20863
-3.25998 3.19725
-3.24998 3.1859
-3.23998 3.17457
-3.22998 3.16327
-3.21998 3.152
-3.20998 3.14075
-3.19998 3.12953
-3.18998 3.11834
-3.17998 3.10718
-3.16998 3.09604
-3.15998 3.08494
-3.14998 3.07385
-3.13998 3.0628
-3.12998 3.05177
-3.11998 3.04077
-3.10998 3.0298
-3.09998 3.01885
-3.08998 3.00793
-3.07998 2.99703
-3.06998 2.98617
-3.05998 2.97533
-3.04998 2.96451
-3.03998 2.95373
-3.02998 2.94297
-3.01998 2.93224
-3.00998 2.92153
-2.99998 2.91085
-2.98998 2.90019
-2.97998 2.88957
-2.96998 2.87897
-2.95998 2.86839
-2.94998 2.85785
-2.93998 2.84732
-2.92998 2.83683
-2.91998 2.82636
-2.90998 2.81592
-2.89998 2.8055
-2.88998 2.79511
-2.87998 2.78475
-2.86998 2.77441
-2.85998 2.7641
-2.84998 2.75381
-2.83998 2.74355
-2.82998 2.73332
-2.81998 2.72311
-2.80998 2.71293
-2.79998 2.70278
-2.78998 2.69265
-2.77998 2.68254
-2.76998 2.67246
-2.75998 2.66241
-2.74998 2.65239
-2.73998 2.64239
-2.72998 2.63241
-2.71998 2.62246
-2.70998 2.61254
-2.69998 2.60264
-2.68998 2.59276
-2.67998 2.58292
-2.66998 2.5731
-2.65998 2.5633
-2.64998 2.55353
-2.63998 2.54378
-2.62998 2.53406
-2.61998 2.52437
-2.60998 2.5147
-2.59998 2.50505
-2.58998 2.49543
-2.57998 2.48584
-2.56998 2.47627
-2.55998 2.46673
-2.54998 2.45721
-2.53998 2.44771
-2.52998 2.43825
-2.51998 2.4288
-2.50998 2.41938
-2.49998 2.40999
-2.48998 2.40062
-2.47998 2.39128
-2.46998 2.38196
-2.45998 2.37266
-2.44998 2.36339
-2.43998 2.35415
-2.42998 2.34493
-2.41998 2.33573
-2.40998 2.32656
-2.39998 2.31741
-2.38998 2.30829
-2.37998 2.29919
-2.36998 2.29012
-2.35998 2.28107
-2.34998 2.27205
-2.33998 2.26305
